epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9736,1.75397,3.42547,1.45055,0.00469,0.74952,0.25708,0.16188,1.27143,3.56355,1.14109,0.000466807,0.000466807,0.000466807
2,176.961,1.30304,2.16911,1.15435,0.57395,0.37483,0.53378,0.33169,1.29921,2.46758,1.1243,0.000933803,0.000933803,0.000933803
3,264,1.21709,1.7982,1.10942,0.5517,0.6637,0.61464,0.35063,1.32022,2.13833,1.11182,0.00139137,0.00139137,0.00139137
4,348.806,1.23767,1.69743,1.12926,0.64213,0.62859,0.60433,0.37573,1.30855,1.97046,1.13601,0.00138656,0.00138656,0.00138656
5,435.057,1.27591,1.56981,1.11435,0.61606,0.76046,0.70414,0.44134,1.14806,1.74822,1.07687,0.00137241,0.00137241,0.00137241
6,517.138,1.17615,1.39538,1.11026,0.74512,0.79129,0.73312,0.49456,1.19552,1.35752,1.08009,0.00135826,0.00135826,0.00135826
7,598.966,1.18719,1.32671,1.0894,0.68385,0.80556,0.75918,0.49499,1.16721,1.277,1.04871,0.00134412,0.00134412,0.00134412
8,681.397,1.18319,1.26157,1.08912,0.64623,0.87007,0.76953,0.51066,1.10222,1.35492,1.0502,0.00132997,0.00132997,0.00132997
9,762.581,1.16126,1.22619,1.08317,0.71203,0.88739,0.79485,0.51986,1.18135,1.15824,1.06658,0.00131582,0.00131582,0.00131582
10,842.989,1.14201,1.1204,1.07035,0.71605,0.89871,0.76515,0.51896,1.12721,1.13057,1.04807,0.00130168,0.00130168,0.00130168
11,920.575,1.09968,1.10055,1.06597,0.77981,0.90551,0.85483,0.62011,1.08133,1.03473,1.0176,0.00128753,0.00128753,0.00128753
12,998.859,1.10115,1.09354,1.05559,0.78057,0.86371,0.81711,0.57029,1.0786,1.09208,1.06039,0.00127338,0.00127338,0.00127338
