date,filename,download,unit_download,download_unit_source,upload,unit_upload,upload_unit_source,det_conf,ocr_conf,qms_detected,qms_conf
2026-03-21T22:32:24.022835,cm_ord47635484-order_attachments_18516900.jpg,414.0,Mbit/s,default,445.0,Mbit/s,default,0.8500,1.0000,True,0.5643
2026-03-21T22:32:25.104539,cm_ord47645620-order_attachments_18514725.jpg,1.0,Mbit/s,detected,5.0,Mbit/s,detected,0.7242,0.8024,True,0.6503
2026-03-21T22:32:25.875547,cm_ord47647354-order_attachments_18517220.jpg,530.0,Mbit/s,default,534.0,Mbit/s,default,0.8007,1.0000,False,0.0000
2026-03-21T22:32:26.821558,cm_ord47650921-order_attachments_18513779.jpg,325.0,Mbit/s,detected,431.48,Mbit/s,detected,0.6711,0.9818,True,0.5951
2026-03-21T22:32:27.828572,cm_ord47652748-order_attachments_18516822.jpg,233.69,Mbit/s,detected,211.5,Mbit/s,detected,0.6726,0.9493,True,0.6557
2026-03-21T22:32:28.835583,cm_ord47654444-order_attachments_18514213.jpg,417.6,Mbit/s,detected,0.0,Mbit/s,detected,0.5998,0.4811,True,0.7409
2026-03-21T22:32:29.706531,cm_ord47655238-order_attachments_18515276.jpg,252.56,Mbit/s,detected,197.44,Mbit/s,detected,0.6789,0.9601,True,0.5987
2026-03-21T22:32:30.875061,cm_ord47655241-order_attachments_18513668.jpg,491.19,Mbit/s,detected,0.0,Mbit/s,detected,0.7107,0.4883,True,0.6508
2026-03-21T22:32:31.879611,cm_ord47655585-order_attachments_18514519.jpg,233.69,Mbit/s,detected,211.5,Mbit/s,detected,0.6726,0.9493,True,0.6557
2026-03-21T22:32:32.546149,cm_ord47655735-order_attachments_18516611.jpg,73.2,Mbit/s,default,72.0,Mbit/s,default,0.8507,0.9992,False,0.0000
2026-03-21T22:32:33.485161,cm_ord47655797-order_attachments_18513368.jpg,602.67,Mbit/s,copied,490.48,Mbit/s,detected,0.7947,0.9328,True,0.4467
2026-03-21T22:32:34.443172,cm_ord47656729-order_attachments_18516056.jpg,81.99,Mbit/s,detected,8719.0,Mbit/s,detected,0.6450,0.9319,True,0.5944
2026-03-21T22:32:35.556188,cm_ord47656797-order_attachments_18514049.jpg,1.0,Mbit/s,detected,188.74,Mbit/s,detected,0.6918,0.9724,True,0.6759
2026-03-21T22:32:36.758232,cm_ord47657373-order_attachments_18516840.jpg,172.08,Mbit/s,detected,126.38,Mbit/s,detected,0.6836,0.9776,True,0.7076
2026-03-21T22:32:37.473767,cm_ord47657450-order_attachments_18516892.jpg,87.0,Mbit/s,default,91.9,Mbit/s,default,0.7847,1.0000,False,0.0000
2026-03-21T22:32:38.224776,cm_ord47657610-order_attachments_18513695.jpg,243.0,Mbit/s,default,243.0,Mbit/s,default,0.8790,1.0000,True,0.5280
2026-03-21T22:32:39.127787,cm_ord47658179-order_attachments_18514020.jpg,43779.0,Mbit/s,detected,0.0,Mbit/s,detected,0.7009,0.7014,True,0.7590
2026-03-21T22:32:39.974886,cm_ord47660002-order_attachments_18514005.jpg,43779.0,Mbit/s,detected,0.0,Mbit/s,detected,0.7009,0.7014,True,0.7590
2026-03-21T22:32:41.074811,cm_ord47660214-order_attachments_18516772.jpg,1.0,Mbit/s,detected,5.0,Mbit/s,detected,0.7242,0.8024,True,0.6503
2026-03-21T22:32:42.167826,cm_ord47660479-order_attachments_18516634.jpg,1.0,Mbit/s,detected,188.74,Mbit/s,detected,0.6918,0.9724,True,0.6759
2026-03-21T22:32:42.807842,cm_ord47661044-order_attachments_18516260.jpg,93.6,Mbit/s,default,6.0,Mbit/s,default,0.8695,0.9996,False,0.0000
